Name	Type
CEBPB	TF
CEBPD	TF
JUN	TF
MYC	TF
SPI1	TF
JUNB	TF
MEF2C	TF
HMGA1	TF
FOS	TF
FOXM1	TF
FOSB	TF
E2F1	TF
SOX4	TF
IRF4	TF
E2F8	TF
BCL11A	TF
XBP1	TF
LEF1	TF
IRF8	TF
LYL1	TF
RXRA	TF
TCF4	TF
ETS1	TF
RUNX2	TF
MYB	TF
FOSL2	TF
SPIB	TF
TCF7	TF
IRF7	TF
MYBL2	TF
KLF4	TF
KLF6	TF
JUND	TF
MS4A3	normal
SRGN	normal
FAM129C	normal
HINT1	normal
FKBP11	normal
CIB2	normal
TYROBP	normal
MZB1	normal
B2M	normal
IGFBP7	normal
FCN1	normal
SMIM14	normal
GSTP1	normal
TMSB4X	normal
PACSIN1	normal
PRTN3	normal
COTL1	normal
IL32	normal
PRSS57	normal
TGFBI	normal
SEPT6	normal
RRM2	normal
RNASE2	normal
AZU1	normal
CFD	normal
TNNI2	normal
P2RY14	normal
ENO1	normal
MYL12A	normal
LGMN	normal
CTSB	normal
ANXA2	normal
EMP3	normal
S100A6	normal
TUBA1B	normal
EGFL7	normal
GPR183	normal
IL3RA	normal
CYFIP2	normal
CAT	normal
LRRC26	normal
CLIC3	normal
MGST1	normal
DUSP1	normal
GYPC	normal
ZWINT	normal
SMPD3	normal
GRN	normal
ST6GALNAC4	normal
PKMYT1	normal
CCDC50	normal
ELANE	normal
CD74	normal
OFD1	normal
TK1	normal
PCNA	normal
DNTT	normal
ACY3	normal
LST1	normal
SPOCK2	normal
S100A11	normal
HERPUD1	normal
S100A12	normal
EBPL	normal
MAPKAPK2	normal
TMSB10	normal
VCAN	normal
ITM2C	normal
MCL1	normal
DAB2	normal
TNFSF13B	normal
CXXC5	normal
KCNK17	normal
CLEC4C	normal
MAP1A	normal
HSPB1	normal
ZFP36	normal
ANXA5	normal
H2AFZ	normal
EEF1B2	normal
C12orf75	normal
TNFRSF21	normal
PPA1	normal
IGLL1	normal
RAB32	normal
ACTG1	normal
DDAH2	normal
NCF1	normal
EREG	normal
RNASE6	normal
CSF3R	normal
CORO1A	normal
IGFBP2	normal
MALAT1	normal
CD53	normal
TSPO	normal
S100A9	normal
LGALS1	normal
NPW	normal
VIM	normal
SCN9A	normal
GZMB	normal
SEL1L3	normal
DNASE1L3	normal
LDLRAD4	normal
CFL1	normal
ADA	normal
BCL11B	normal
ALOX5AP	normal
APLP2	normal
HHIP-AS1	normal
LILRA4	normal
MNDA	normal
CENPM	normal
CST7	normal
HS3ST1	normal
CDKN2D	normal
EEF1A1	normal
CD52	normal
S100A8	normal
CALR	normal
SHD	normal
SPINK2	normal
HIST1H1B	normal
TPI1	normal
TSPAN13	normal
MYLK	normal
HLA-DPA1	normal
STMN1	normal
CFP	normal
SH3BGRL3	normal
DUT	normal
LTB	normal
COBLL1	normal
TOP2A	normal
HLA-DPB1	normal
FTL	normal
SRP14	normal
YBX3	normal
TMEM106C	normal
CPA3	normal
SAMHD1	normal
BLNK	normal
CYTH4	normal
AURKB	normal
PPP1R14A	normal
IQGAP2	normal
LCK	normal
KLF2	normal
HSPA5	normal
NUDT17	normal
DHFR	normal
FCRLA	normal
ANXA1	normal
CD2AP	normal
CENPU	normal
CST3	normal
CD3E	normal
LSP1	normal
NUSAP1	normal
ITM2A	normal
ASF1B	normal
PLD4	normal
HLA-DMA	normal
FCER1G	normal
PPM1K	normal
UGCG	normal
TYMS	normal
HLA-DMB	normal
LILRB4	normal
HMGB2	normal
HSP90B1	normal
CTSG	normal
ACTB	normal
MKI67	normal
PTPRS	normal
CD14	normal
HIST1H4C	normal
SEPT1	normal
NEAT1	normal
SLC2A3	normal
HSP90AB1	normal
C1QTNF4	normal
ARL4C	normal
GAPT	normal
RASD1	normal
SERPINB1	normal
AC023590.1	normal
CSTA	normal
HLA-DRA	normal
SCT	normal
LYZ	normal
SEPT9	normal
NUCB2	normal
CTSZ	normal
APP	normal
FTH1	normal
PROC	normal
CXCR4	normal
PLP2	normal
AIF1	normal
TUBB	normal
MPO	normal
PLAC8	normal
CARD11	normal
CYB561A3	normal
GAPDH	normal
CD3D	normal
IL7R	normal
UBE2C	normal
NPM1	normal
MARCKSL1	normal
S100A10	normal
ALDH2	normal
S100A4	normal
