Regulator	Target
BCL11A	CSTA
BCL11A	IL3RA
BCL11A	IRF7
BCL11A	LYZ
BCL11A	MZB1
BCL11A	RNASE2
BCL11A	SPIB
BCL11A	TCF4
CEBPB	CD14
CEBPB	FCN1
CEBPB	LYZ
CEBPB	MNDA
CEBPB	S100A11
CEBPB	S100A6
CEBPB	S100A8
CEBPB	S100A9
CEBPB	VCAN
CEBPD	ADA
CEBPD	ANXA1
CEBPD	ANXA2
CEBPD	BLNK
CEBPD	CCDC50
CEBPD	CFD
CEBPD	COTL1
CEBPD	CSTA
CEBPD	FAM129C
CEBPD	FOS
CEBPD	FTL
CEBPD	GRN
CEBPD	IGLL1
CEBPD	ITM2C
CEBPD	JUNB
CEBPD	LGALS1
CEBPD	LST1
CEBPD	LYZ
CEBPD	MCL1
CEBPD	MNDA
CEBPD	MZB1
CEBPD	RNASE2
CEBPD	S100A10
CEBPD	S100A11
CEBPD	S100A4
CEBPD	S100A6
CEBPD	S100A8
CEBPD	S100A9
CEBPD	SCT
CEBPD	SHD
CEBPD	SPIB
CEBPD	TCF4
CEBPD	TSPO
CEBPD	UGCG
CEBPD	VCAN
CEBPD	VIM
E2F1	PCNA
E2F8	HIST1H4C
ETS1	BCL11B
ETS1	CD3D
ETS1	CD3E
ETS1	IL32
ETS1	IL7R
ETS1	LCK
ETS1	LTB
ETS1	SPOCK2
FOS	ANXA2
FOS	CEBPD
FOS	COTL1
FOS	CSTA
FOS	DUSP1
FOS	EMP3
FOS	FCER1G
FOS	FOSB
FOS	IGLL1
FOS	JUNB
FOS	KLF2
FOS	KLF4
FOS	LGALS1
FOS	LYZ
FOS	MCL1
FOS	MNDA
FOS	S100A10
FOS	S100A11
FOS	S100A4
FOS	S100A6
FOS	S100A8
FOS	S100A9
FOS	TMSB4X
FOS	VCAN
FOS	VIM
FOS	ZFP36
FOSB	DUSP1
FOSB	FOS
FOSB	JUN
FOSB	JUND
FOSB	KLF4
FOSB	KLF6
FOSL2	LYZ
FOSL2	S100A8
FOSL2	S100A9
FOXM1	AURKB
FOXM1	HIST1H4C
FOXM1	HMGB2
FOXM1	MKI67
FOXM1	NUSAP1
FOXM1	TOP2A
FOXM1	TUBA1B
FOXM1	TUBB
FOXM1	UBE2C
HMGA1	FCN1
HMGA1	LGALS1
HMGA1	NPM1
HMGA1	PRSS57
HMGA1	S100A4
HMGA1	S100A8
HMGA1	S100A9
IRF4	C12orf75
IRF4	CCDC50
IRF4	CLEC4C
IRF4	CLIC3
IRF4	DNASE1L3
IRF4	LILRA4
IRF4	PPP1R14A
IRF4	SCT
IRF4	SPIB
IRF4	TGFBI
IRF7	AC023590.1
IRF7	ADA
IRF7	AIF1
