Name	Type
CEBPD	TF
JUN	TF
MYC	TF
BRCA1	TF
JUNB	TF
GATA2	TF
CEBPA	TF
NFIA	TF
FOS	TF
FOXM1	TF
FOSB	TF
E2F1	TF
SOX4	TF
PBX1	TF
E2F8	TF
HLF	TF
IRF8	TF
LYL1	TF
TCF4	TF
E2F2	TF
NR4A2	TF
MYBL2	TF
KLF6	TF
EGR1	TF
JUND	TF
MS4A3	normal
SRGN	normal
DLGAP5	normal
CHAF1A	normal
DNAJC9	normal
PRDX1	normal
MCM7	normal
HSP90AA1	normal
TCF19	normal
NEK2	normal
ATAD5	normal
PRTN3	normal
CDC6	normal
PRSS57	normal
NACA	normal
CSF1R	normal
RRM2	normal
RNASE2	normal
KIF15	normal
AZU1	normal
CFD	normal
RNASEH2A	normal
KIFC1	normal
SKA3	normal
TPX2	normal
TROAP	normal
FAM111B	normal
KIF23	normal
TUBA1B	normal
MCM10	normal
CENPF	normal
ESCO2	normal
BRCA2	normal
CDC45	normal
DTL	normal
MYADM	normal
CENPE	normal
BIRC5	normal
DUSP1	normal
ZWINT	normal
FEN1	normal
MXD3	normal
SPC24	normal
PKMYT1	normal
CLSPN	normal
ELANE	normal
KIF14	normal
TK1	normal
PCNA	normal
DNTT	normal
MCM3	normal
SMC2	normal
RAD51AP1	normal
LST1	normal
LMNA	normal
LIG1	normal
EIF1	normal
MCL1	normal
TNFSF13B	normal
CRHBP	normal
CDCA5	normal
MND1	normal
H2AFZ	normal
ZFP36	normal
MCM6	normal
CENPA	normal
CDCA3	normal
IGLL1	normal
SPC25	normal
RAB32	normal
TIMELESS	normal
RNASE6	normal
USP1	normal
IGFBP2	normal
MALAT1	normal
TCEAL2	normal
H3F3B	normal
LGALS1	normal
ANKRD28	normal
ZFAS1	normal
VIM	normal
ORC6	normal
HMMR	normal
CKS1B	normal
CTNNAL1	normal
CENPM	normal
CST7	normal
AVP	normal
EEF1A1	normal
LY86	normal
EIF3E	normal
CD52	normal
CALR	normal
HIST1H1B	normal
GINS2	normal
SPINK2	normal
C16orf54	normal
STMN1	normal
IDS	normal
DUT	normal
TOP2A	normal
GTSE1	normal
CDKN3	normal
CPA3	normal
SAMHD1	normal
BLNK	normal
TMEM106C	normal
AURKB	normal
HOPX	normal
ATAD2	normal
DHFR	normal
KIF11	normal
CXorf21	normal
FCER1A	normal
RNASE3	normal
DNMT1	normal
RAD51	normal
KLF4	normal
PLK1	normal
CENPU	normal
LYST	normal
ASF1B	normal
TPT1	normal
NUSAP1	normal
HELLS	normal
ASPM	normal
TYMS	normal
HSP90B1	normal
HMGB2	normal
CTSG	normal
MKI67	normal
CDK1	normal
FANCD2	normal
TUBA1A	normal
NDC80	normal
RRM1	normal
C1QTNF4	normal
CD164	normal
CCNA2	normal
TSC22D3	normal
MEG3	normal
FABP5	normal
DEK	normal
CSTA	normal
RFC4	normal
MLLT3	normal
CENPW	normal
FAM107B	normal
LYZ	normal
PPP1R15A	normal
GGH	normal
NUCB2	normal
FTH1	normal
PTTG1	normal
NUF2	normal
TUBB	normal
MPO	normal
UBE2T	normal
NCAPH	normal
SERPINB8	normal
LIMS1	normal
UBE2C	normal
MS4A6A	normal
NPM1	normal
ARL4A	normal
